price,stNumber,stName,size,beacon,baseFloor,buildingStyle,elevators,rooms,bedrooms,fullBathrooms,halfBathrooms,garage
350000,60,BABCOCK ST,757,0,6,HIGH-RISE,2,4,1,1,0,0
205000,24,JUNIPER ST,638,0,0,LOW-RISE,0,4,1,1,0,0
345000,66,MARSHAL ST,872,0,1,ROW-MIDDLE,0,3,1,1,0,0
153000,1060,BEACON ST,610,1,1,LOW-RISE,0,3,1,1,0,0
707000,219,MASON TER,2036,0,1,DUPLEX,0,9,4,2,0,1
475000,55,RESERVOIR RD,1658,0,3,DECKER,0,7,4,2,0,0
950000,100,ST PAUL ST,1640,0,1,ROW-MIDDLE,1,5,3,2,1,2
349000,74,CHESTNUT ST,900,0,2,DECKER,0,5,2,1,0,0
335000,50,GREEN ST,711,0,3,LOW-RISE,1,3,1,1,0,0
750000,115,SEWALL AVE,2282,0,0,LOW-RISE,0,5,3,2,1,0
174000,150,PLEASANT ST,1063,0,2,MID-RISE,1,4,2,1,1,1
462500,1080,BEACON ST,1086,1,4,MID-RISE,1,3,2,1,0,0
432500,50,WINCHESTER ST,827,0,4,MID-RISE,1,3,1,1,0,1
1200000,115,SEWALL AVE,2483,0,1,LOW-RISE,0,6,4,2,1,1
207500,1253,BEACON ST,499,1,0,LOW-RISE,0,3,1,1,0,0
831000,138,MASON TER,1269,0,1,DECKER,0,5,3,2,1,1
620000,46,REGENT CIR,1923,0,1,CLUSTER-TYPE,0,6,2,2,1,1
390000,275,CYPRESS ST,863,0,3,LOW-RISE,0,4,2,1,0,0
385000,65,GLEN RD,909,0,2,LOW-RISE,1,4,2,1,1,0
500000,231,FREEMAN ST,1005,0,2,LOW-RISE,0,5,2,1,0,0
619500,60,BROWNE ST,1714,0,3,LOW-RISE,0,5,2,2,0,0
600000,29,COLUMBIA ST,1506,0,1,CONVERTED-HOUSE,0,5,2,1,1,2
849000,119,FULLER ST,1242,0,1,DECKER,0,9,4,2,1,1
438000,34,PARKMAN ST,934,0,3,ROW-END,0,4,2,1,0,0
389000,58,DWIGHT ST,923,0,1,LOW-RISE,0,4,2,1,0,0
315000,44,WASHINGTON ST,1005,0,4,HIGH-RISE,5,4,2,2,0,1
838500,1265,BEACON ST,1835,1,9,HIGH-RISE,2,6,3,2,1,2
375000,100,MARION ST,732,0,2,LOW-RISE,1,3,1,1,0,2
1050000,51,ST PAUL ST,1895,0,2,DECKER,1,5,3,3,0,2
379000,1768,BEACON ST,872,1,2,LOW-RISE,1,4,2,1,0,0
327000,50,PARK ST,915,0,1,LOW-RISE,1,3,1,1,0,0
1187500,1160,BEACON ST,2412,1,2,LOW-RISE,1,6,3,2,1,1
345000,60,LONGWOOD AVE,954,0,9,HIGH-RISE,3,3,1,1,1,1
445000,4,LINDEN CT,978,0,3,DECKER,0,5,2,1,0,0
400000,50,GREEN ST,1102,0,2,LOW-RISE,1,4,2,2,0,0
767200,20,CHAPEL ST,1553,0,3,HIGH-RISE,6,5,2,2,1,2
352000,58,PRINCE ST,1017,0,2,DECKER,0,5,2,2,0,0
595000,1514,BEACON ST,1404,1,2,MID-RISE,2,5,2,1,0,0
660000,13,GARRISON RD,1670,0,3,ROW-MIDDLE,0,5,2,2,0,0
468000,17,STEARNS RD,1250,0,1,ROW-MIDDLE,0,4,2,1,0,0
367000,22,GARRISON RD,958,0,3,ROW-MIDDLE,0,5,1,1,0,0
309000,1450,BEACON ST,645,1,8,HIGH-RISE,4,3,1,1,0,0
198000,20,CHAPEL ST,534,0,0,HIGH-RISE,6,4,1,1,0,0
650000,14,EGMONT ST,1886,0,1,ROW-END,0,6,3,2,0,0
452500,15,WELLMAN ST,1345,0,2,LOW-RISE,0,5,3,1,0,0
477000,20,CHAPEL ST,945,0,3,HIGH-RISE,6,5,2,1,0,1
1200000,1160,BEACON ST,2144,1,3,LOW-RISE,1,6,2,2,1,1
425000,35,WHITE PL,905,0,1,DECKER,0,4,2,1,1,0
1270117,76,GREEN ST,2239,0,1,LOW-RISE,2,6,3,2,1,2
740000,629,HAMMOND ST,1636,0,1,LOW-RISE,2,5,2,2,0,2
450000,185,PLEASANT ST,1340,0,2,ROW-END,0,6,3,1,1,1
530000,629,HAMMOND ST,1138,0,4,LOW-RISE,2,4,2,2,0,2
806000,20,CHAPEL ST,1727,0,6,HIGH-RISE,6,6,2,2,1,2
700000,20,CHAPEL ST,1557,0,6,HIGH-RISE,6,5,2,2,0,2
365000,50,LONGWOOD AVE,938,0,7,HIGH-RISE,3,3,1,1,1,1
655000,95,CENTRE ST,1685,0,2,ROW-MIDDLE,0,7,3,2,0,0
708000,67,ST PAUL ST,2281,0,2,CONVERTED-HOUSE,0,7,4,3,0,0
830000,18,ELM ST,2070,0,1,DUPLEX,0,9,4,3,1,0
422500,11,COLBOURNE CRES,1057,0,2,ROW-END,0,4,2,1,0,0
455000,99,MARION ST,1023,0,3,LOW-RISE,0,4,2,1,0,0
502000,76,KENT ST,1206,0,1,LOW-RISE,0,5,2,2,0,2
420000,20,CAMERON ST,1086,0,2,LOW-RISE,0,4,2,2,0,0
541500,1584,BEACON ST,1440,1,3,ROW-MIDDLE,0,6,3,2,0,0
475000,629,HAMMOND ST,1004,0,3,LOW-RISE,2,4,2,2,0,1
445000,194,ST PAUL ST,980,0,2,ROW-END,0,4,2,1,0,0
615000,61,GARDNER RD,1360,0,1,DECKER,0,6,3,2,0,1
1708000,120,SEAVER ST,2646,0,2,LOW-RISE,1,6,2,3,0,2
675000,77,GIBBS ST,1585,0,2,LOW-RISE,0,7,4,2,0,0
174000,150,PLEASANT ST,940,0,1,MID-RISE,1,4,2,1,0,1
232000,23,WESTBOURNE TER,541,0,3,LOW-RISE,0,3,1,1,0,0
550000,629,HAMMOND ST,1175,0,1,LOW-RISE,2,5,2,2,0,1
333000,9,COREY RD,828,0,3,LOW-RISE,1,4,1,1,0,0
