Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Stephanie Talbot,LAS,F,36,588,36,10,16.3,1.3,3.4,0.393,0.3,1.4,0.245,1,2,0.493,0.6,0.8,0.69,0.6,2.7,2.1,0.5,0.5,1,1.4,3.6
Diana Taurasi,PHO,G,35,1026,35,35,29.3,4.8,12,0.401,2.4,7.2,0.329,2.5,4.8,0.509,3.1,3.6,0.857,0.4,3.9,3.4,0.6,0.3,1.9,2.6,15.1
Alyssa Thomas,CON,F,39,1275,39,39,32.7,4.1,8.2,0.503,0,0.1,0,4.1,8.1,0.509,2.3,3.6,0.624,2.4,8.5,7.9,1.6,0.5,3.6,2.1,10.5
Kayla Thornton,NYL,F,39,788,39,11,20.2,1.9,5.1,0.382,1.2,3.2,0.366,0.8,1.9,0.408,0.6,0.7,0.846,0.9,2.6,0.7,0.7,0.2,0.5,1.4,5.6
Brianna Turner,CHI,F,26,218,26,1,8.4,0.5,0.9,0.609,0,0,,0.5,0.9,0.609,0,0.1,0.5,0.4,1.8,0.4,0.3,0.4,0.3,0.9,1.1
Sevgi Uzun,DAL,G,39,805,39,19,20.6,1.7,5,0.349,0.5,2.1,0.244,1.2,2.9,0.425,0.5,0.6,0.826,0.2,1.7,3,0.9,0.3,1.8,1.5,4.5
Courtney Vandersloot,NYL,G,30,675,30,30,22.5,2.7,5.9,0.458,0.6,2.2,0.273,2.1,3.7,0.568,0.6,1,0.548,0.4,2.7,4.9,0.8,0.5,1.8,1.7,6.6
Julie Vanloo,WAS,G,39,911,39,33,23.4,2.7,7.8,0.35,1.8,5.6,0.329,0.9,2.2,0.405,0.3,0.4,0.667,0.1,1.6,4.4,0.5,0,2.6,2.1,7.5
Victoria Vivians,SEA,G-F,34,429,34,15,12.6,1.1,3.4,0.33,0.6,1.8,0.306,0.6,1.6,0.358,0.2,0.3,0.667,0.5,2,0.8,0.4,0.2,0.6,1.2,3
Shatori Walker-Kimbrough,WAS,G,39,860,39,2,22.1,2.6,6.2,0.412,0.8,2.6,0.327,1.7,3.6,0.472,1.4,1.7,0.806,0.3,1.7,1.8,1.1,0.5,1.3,1,7.4
Kristy Wallace,IND,G,25,421,25,15,16.8,1.6,4.4,0.376,0.6,2.2,0.259,1.1,2.2,0.491,0.4,0.6,0.625,0.4,1.8,1.8,0.7,0.2,0.6,1.1,4.2
Erica Wheeler,IND,G,38,521,38,2,13.7,1.4,3.6,0.407,0.4,1.3,0.286,1.1,2.3,0.477,0.3,0.3,0.846,0.2,1.4,1.6,0.4,0.1,0.9,1.1,3.6
Sami Whitcomb,SEA,G,39,576,39,2,14.8,1.7,5.1,0.345,1.1,3.9,0.289,0.6,1.2,0.533,0.2,0.3,0.818,0.3,1.7,1.5,0.8,0.2,0.9,1.4,4.8
Courtney Williams,MIN,G,39,1034,39,39,26.5,4.9,11,0.447,0.6,1.7,0.333,4.4,9.3,0.467,0.8,1.1,0.805,0.4,4.7,5.6,0.9,0.4,2.4,1.9,11.3
Elizabeth Williams,CHI,C-F,9,249,9,9,27.7,4.1,8.4,0.487,0,0,,4.1,8.4,0.487,1.8,2.7,0.667,2.8,7,1.6,1.7,1.7,1.7,2.1,10
Gabby Williams,SEA,F,11,325,11,10,29.5,4.2,8.7,0.479,0.7,2.5,0.286,3.5,6.2,0.559,1.3,1.7,0.737,0.7,3.9,3.5,1.7,0.3,1.4,1.8,10.4
